raw_date,end_date,date,count,most_login,most_user,icon
2011-01-01,2011-01-31,Jan 2011,1,vanhoutan,533,https://static.inaturalist.org/attachments/users/icons/533/medium.jpg?1475527600
2011-02-01,2011-02-28,Feb 2011,0,,,
2011-03-01,2011-03-31,Mar 2011,0,,,
2011-04-01,2011-04-30,Apr 2011,0,,,
2011-05-01,2011-05-31,May 2011,9,tapbirds,873,https://static.inaturalist.org/attachments/users/icons/873/medium.jpg?1475527722
2011-06-01,2011-06-30,Jun 2011,5,totem,1942,https://static.inaturalist.org/attachments/users/icons/1942/medium.jpg?1475528262
2011-07-01,2011-07-31,Jul 2011,30,msr,516,https://static.inaturalist.org/attachments/users/icons/516/medium.jpg?1475527596
2011-08-01,2011-08-31,Aug 2011,9,kueda,1,https://static.inaturalist.org/attachments/users/icons/1/medium.jpg?1475527316
2011-09-01,2011-09-30,Sep 2011,3,pueo,2622,https://static.inaturalist.org/attachments/users/icons/2622/medium.png?1475528536
2011-10-01,2011-10-31,Oct 2011,26,david_toledo,3217,https://static.inaturalist.org/attachments/users/icons/3217/medium.jpg?1475528759
2011-11-01,2011-11-30,Nov 2011,11,max0rz,3622,
2011-12-01,2011-12-31,Dec 2011,27,davidr,3403,https://static.inaturalist.org/attachments/users/icons/3403/medium.jpg?1475528831
2012-01-01,2012-01-31,Jan 2012,29,ronsavage,4358,https://static.inaturalist.org/attachments/users/icons/4358/medium.jpg?1475529541
2012-02-01,2012-02-29,Feb 2012,42,davidr,3403,https://static.inaturalist.org/attachments/users/icons/3403/medium.jpg?1475528831
2012-03-01,2012-03-31,Mar 2012,10,victoriousness,4881,https://static.inaturalist.org/attachments/users/icons/4881/medium.jpg?1475529787
2012-04-01,2012-04-30,Apr 2012,105,madsa,5764,https://static.inaturalist.org/attachments/users/icons/5764/medium.jpg?1475530214
2012-05-01,2012-05-31,May 2012,8,sir-zeke,6583,
2012-06-01,2012-06-30,Jun 2012,48,annemirdl,7504,https://static.inaturalist.org/attachments/users/icons/7504/medium.jpeg?1475531214
2012-07-01,2012-07-31,Jul 2012,78,annemirdl,7504,https://static.inaturalist.org/attachments/users/icons/7504/medium.jpeg?1475531214
2012-08-01,2012-08-31,Aug 2012,66,annemirdl,7504,https://static.inaturalist.org/attachments/users/icons/7504/medium.jpeg?1475531214
2012-09-01,2012-09-30,Sep 2012,145,annemirdl,7504,https://static.inaturalist.org/attachments/users/icons/7504/medium.jpeg?1475531214
2012-10-01,2012-10-31,Oct 2012,155,annemirdl,7504,https://static.inaturalist.org/attachments/users/icons/7504/medium.jpeg?1475531214
2012-11-01,2012-11-30,Nov 2012,129,annemirdl,7504,https://static.inaturalist.org/attachments/users/icons/7504/medium.jpeg?1475531214
2012-12-01,2012-12-31,Dec 2012,291,finatic,10285,https://static.inaturalist.org/attachments/users/icons/10285/medium.jpg?1475532519
2013-01-01,2013-01-31,Jan 2013,739,annemirdl,7504,https://static.inaturalist.org/attachments/users/icons/7504/medium.jpeg?1475531214
2013-02-01,2013-02-28,Feb 2013,449,artmur,2365,https://static.inaturalist.org/attachments/users/icons/2365/medium.jpeg?1475528462
2013-03-01,2013-03-31,Mar 2013,467,carlos2,8233,https://static.inaturalist.org/attachments/users/icons/8233/medium.jpg?1475531535
2013-04-01,2013-04-30,Apr 2013,719,roberto_arreola,9345,https://static.inaturalist.org/attachments/users/icons/9345/medium.jpg?1475532063
2013-05-01,2013-05-31,May 2013,1624,pabloleautaud,5105,https://static.inaturalist.org/attachments/users/icons/5105/medium.jpeg?1475529874
2013-06-01,2013-06-30,Jun 2013,1925,juancruzado,5772,https://static.inaturalist.org/attachments/users/icons/5772/medium.jpg?1475530220
2013-07-01,2013-07-31,Jul 2013,1969,juancruzado,5772,https://static.inaturalist.org/attachments/users/icons/5772/medium.jpg?1475530220
2013-08-01,2013-08-31,Aug 2013,1319,juancruzado,5772,https://static.inaturalist.org/attachments/users/icons/5772/medium.jpg?1475530220
2013-09-01,2013-09-30,Sep 2013,1670,francisco3,21626,https://static.inaturalist.org/attachments/users/icons/21626/medium.jpg?1475539014
2013-10-01,2013-10-31,Oct 2013,2370,francisco3,21626,https://static.inaturalist.org/attachments/users/icons/21626/medium.jpg?1475539014
2013-11-01,2013-11-30,Nov 2013,2839,lcardena,9311,https://static.inaturalist.org/attachments/users/icons/9311/medium.jpg?1475532033
2013-12-01,2013-12-31,Dec 2013,3034,juancruzado,5772,https://static.inaturalist.org/attachments/users/icons/5772/medium.jpg?1475530220
2014-01-01,2014-01-31,Jan 2014,3820,juancruzado,5772,https://static.inaturalist.org/attachments/users/icons/5772/medium.jpg?1475530220
2014-02-01,2014-02-28,Feb 2014,2697,juancruzado,5772,https://static.inaturalist.org/attachments/users/icons/5772/medium.jpg?1475530220
2014-03-01,2014-03-31,Mar 2014,2058,juancruzado,5772,https://static.inaturalist.org/attachments/users/icons/5772/medium.jpg?1475530220
2014-04-01,2014-04-30,Apr 2014,2867,juancruzado,5772,https://static.inaturalist.org/attachments/users/icons/5772/medium.jpg?1475530220
2014-05-01,2014-05-31,May 2014,2074,francisco3,21626,https://static.inaturalist.org/attachments/users/icons/21626/medium.jpg?1475539014
2014-06-01,2014-06-30,Jun 2014,2376,juancruzado,5772,https://static.inaturalist.org/attachments/users/icons/5772/medium.jpg?1475530220
2014-07-01,2014-07-31,Jul 2014,2848,juancruzado,5772,https://static.inaturalist.org/attachments/users/icons/5772/medium.jpg?1475530220
2014-08-01,2014-08-31,Aug 2014,2606,francisco3,21626,https://static.inaturalist.org/attachments/users/icons/21626/medium.jpg?1475539014
2014-09-01,2014-09-30,Sep 2014,3204,francisco3,21626,https://static.inaturalist.org/attachments/users/icons/21626/medium.jpg?1475539014
2014-10-01,2014-10-31,Oct 2014,4073,francisco3,21626,https://static.inaturalist.org/attachments/users/icons/21626/medium.jpg?1475539014
2014-11-01,2014-11-30,Nov 2014,4994,juancarlosgarciamorales1,64596,https://static.inaturalist.org/attachments/users/icons/64596/medium.jpeg?1501996210
2014-12-01,2014-12-31,Dec 2014,4816,juancarlosgarciamorales1,64596,https://static.inaturalist.org/attachments/users/icons/64596/medium.jpeg?1501996210
2015-01-01,2015-01-31,Jan 2015,6332,juancarlosgarciamorales1,64596,https://static.inaturalist.org/attachments/users/icons/64596/medium.jpeg?1501996210
2015-02-01,2015-02-28,Feb 2015,5169,gonzalezii,27355,https://static.inaturalist.org/attachments/users/icons/27355/medium.jpg?1475541658
2015-03-01,2015-03-31,Mar 2015,7593,gonzalezii,27355,https://static.inaturalist.org/attachments/users/icons/27355/medium.jpg?1475541658
2015-04-01,2015-04-30,Apr 2015,7763,adorantes,77824,
2015-05-01,2015-05-31,May 2015,9070,juancruzado,5772,https://static.inaturalist.org/attachments/users/icons/5772/medium.jpg?1475530220
2015-06-01,2015-06-30,Jun 2015,6979,ingyl_poncetejedai,86947,https://static.inaturalist.org/attachments/users/icons/86947/medium.jpg?1496546083
2015-07-01,2015-07-31,Jul 2015,9035,juancarloslopezdominguez,26046,https://static.inaturalist.org/attachments/users/icons/26046/medium.jpeg?1475540903
2015-08-01,2015-08-31,Aug 2015,8483,gonzalezii,27355,https://static.inaturalist.org/attachments/users/icons/27355/medium.jpg?1475541658
2015-09-01,2015-09-30,Sep 2015,9074,lauraelviauribelara,61280,https://static.inaturalist.org/attachments/users/icons/61280/medium.jpg?1476648757
2015-10-01,2015-10-31,Oct 2015,12681,lexgarcia1,140012,https://static.inaturalist.org/attachments/users/icons/140012/medium.jpg?1475546100
2015-11-01,2015-11-30,Nov 2015,12974,lauraelviauribelara,61280,https://static.inaturalist.org/attachments/users/icons/61280/medium.jpg?1476648757
2015-12-01,2015-12-31,Dec 2015,8970,aureliomolinahdz,43120,https://static.inaturalist.org/attachments/users/icons/43120/medium.jpeg?1475552581
2016-01-01,2016-01-31,Jan 2016,8205,najera,17401,https://static.inaturalist.org/attachments/users/icons/17401/medium.jpg?1475536540
2016-02-01,2016-02-29,Feb 2016,7253,gonzalezii,27355,https://static.inaturalist.org/attachments/users/icons/27355/medium.jpg?1475541658
2016-03-01,2016-03-31,Mar 2016,9636,juancarloslopezdominguez,26046,https://static.inaturalist.org/attachments/users/icons/26046/medium.jpeg?1475540903
2016-04-01,2016-04-30,Apr 2016,8831,panza_rayada,127156,https://static.inaturalist.org/attachments/users/icons/127156/medium.jpg?1487024477
2016-05-01,2016-05-31,May 2016,9470,adorantes,77824,
2016-06-01,2016-06-30,Jun 2016,12582,najera,17401,https://static.inaturalist.org/attachments/users/icons/17401/medium.jpg?1475536540
2016-07-01,2016-07-31,Jul 2016,14370,najera,17401,https://static.inaturalist.org/attachments/users/icons/17401/medium.jpg?1475536540
