iso	url	name	place_id
196	http://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Cyprus.svg	Cyprus	10289
203	http://upload.wikimedia.org/wikipedia/commons/c/cb/Flag_of_the_Czech_Republic.svg	Czech Republic	8264
208	http://upload.wikimedia.org/wikipedia/commons/9/9c/Flag_of_Denmark.svg	Denmark	8051
262	http://upload.wikimedia.org/wikipedia/commons/3/34/Flag_of_Djibouti.svg	Djibouti	8511
212	http://upload.wikimedia.org/wikipedia/commons/c/c4/Flag_of_Dominica.svg	Dominica	9184
214	http://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_the_Dominican_Republic.svg	Dominican Republic	6931
218	http://upload.wikimedia.org/wikipedia/commons/e/e8/Flag_of_Ecuador.svg	Ecuador	7512
818	http://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Egypt.svg	Egypt	7055
222	http://upload.wikimedia.org/wikipedia/commons/3/34/Flag_of_El_Salvador.svg	El Salvador	7563
226	http://upload.wikimedia.org/wikipedia/commons/3/31/Flag_of_Equatorial_Guinea.svg	Equatorial Guinea	9240
232	http://upload.wikimedia.org/wikipedia/commons/2/29/Flag_of_Eritrea.svg	Eritrea	8208
233	http://upload.wikimedia.org/wikipedia/commons/8/8f/Flag_of_Estonia.svg	Estonia	8265
231	http://upload.wikimedia.org/wikipedia/commons/7/71/Flag_of_Ethiopia.svg	Ethiopia	6846
238	http://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_the_Falkland_Islands.svg	Falkland Islands	7690
234	http://upload.wikimedia.org/wikipedia/commons/3/3c/Flag_of_the_Faroe_Islands.svg	Faroe Islands	10290
242	http://upload.wikimedia.org/wikipedia/commons/b/ba/Flag_of_Fiji.svg	Fiji	7332
246	http://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Finland.svg	Finland	7020
250	http://upload.wikimedia.org/wikipedia/commons/c/c3/Flag_of_France.svg	France	6753
254	http://upload.wikimedia.org/wikipedia/commons/2/29/Flag_of_French_Guiana.svg	French Guiana	6949
258	http://upload.wikimedia.org/wikipedia/commons/d/db/Flag_of_French_Polynesia.svg	French Polynesia	6748
260	http://upload.wikimedia.org/wikipedia/commons/a/a7/Flag_of_the_French_Southern_and_Antarctic_Lands.svg	French Southern Territories	9319
266	http://upload.wikimedia.org/wikipedia/commons/0/04/Flag_of_Gabon.svg	Gabon	7112
270	http://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_The_Gambia.svg	Gambia	7063
268	http://upload.wikimedia.org/wikipedia/commons/0/0f/Flag_of_Georgia.svg	Georgia	8857
