date	count
24-Mar-14	13470
31-Mar-14	8269
07-Apr-14	9266
14-Apr-14	10339
21-Apr-14	10067
28-Apr-14	10843
05-May-14	11413
12-May-14	9816
19-May-14	9863
26-May-14	11139
02-Jun-14	11852
09-Jun-14	10850
16-Jun-14	10167
23-Jun-14	8568
30-Jun-14	9443
07-Jul-14	8727
14-Jul-14	9952
21-Jul-14	9373
28-Jul-14	8976
04-Aug-14	8977
11-Aug-14	8272
18-Aug-14	9395
25-Aug-14	8144
01-Sep-14	8710
08-Sep-14	7733
15-Sep-14	9347
22-Sep-14	9756
29-Sep-14	8705
06-Oct-14	8572
13-Oct-14	7951
20-Oct-14	8910
27-Oct-14	9096
03-Nov-14	9163
10-Nov-14	9329
17-Nov-14	10237
24-Nov-14	9559
01-Dec-14	10368
08-Dec-14	9191
15-Dec-14	7232
22-Dec-14	6878
29-Dec-14	8672
05-Jan-15	8842
12-Jan-15	7485
19-Jan-15	9148
26-Jan-15	9190
02-Feb-15	9038
09-Feb-15	9187
16-Feb-15	9550
23-Feb-15	10083
02-Mar-15	12144
09-Mar-15	11022
16-Mar-15	13161
23-Mar-15	12513
30-Mar-15	15543
06-Apr-15	13581
13-Apr-15	14192
20-Apr-15	15458
27-Apr-15	18389
04-May-15	18586
11-May-15	21639
18-May-15	28281
25-May-15	22785
01-Jun-15	19097
08-Jun-15	19417
15-Jun-15	17709
22-Jun-15	20708
29-Jun-15	18592
06-Jul-15	19564
13-Jul-15	20042
20-Jul-15	19672
27-Jul-15	17737
03-Aug-15	18930
10-Aug-15	15684
17-Aug-15	15813
24-Aug-15	16562
31-Aug-15	14403
07-Sep-15	17403
14-Sep-15	17678
21-Sep-15	18775
28-Sep-15	19349
05-Oct-15	19825
12-Oct-15	17697
19-Oct-15	15770
26-Oct-15	17076
02-Nov-15	17630
09-Nov-15	18747
16-Nov-15	18105
23-Nov-15	16492
30-Nov-15	16537
07-Dec-15	14885
14-Dec-15	13508
21-Dec-15	12198
28-Dec-15	14528
04-Jan-16	13959
11-Jan-16	14678
18-Jan-16	15822
