raw_date,end_date,date,count,most_login,most_user,icon
2011-01-01,2011-01-31,Jan 2011,51,johnnybirder,520,https://static.inaturalist.org/attachments/users/icons/520/medium.jpg?1475527599
2011-02-01,2011-02-28,Feb 2011,8,vanhoutan,533,https://static.inaturalist.org/attachments/users/icons/533/medium.jpg?1475527600
2011-03-01,2011-03-31,Mar 2011,101,loarie,477,http://staticdev.inaturalist.org/attachments/users/icons/477/medium.jpg?1475527574
2011-04-01,2011-04-30,Apr 2011,1,nikki,909,
2011-05-01,2011-05-31,May 2011,9,vanhoutan,533,https://static.inaturalist.org/attachments/users/icons/533/medium.jpg?1475527600
2011-06-01,2011-06-30,Jun 2011,32,muir,1000,https://static.inaturalist.org/attachments/users/icons/1000/medium.jpg?1475527774
2011-07-01,2011-07-31,Jul 2011,8,muir,1000,https://static.inaturalist.org/attachments/users/icons/1000/medium.jpg?1475527774
2011-08-01,2011-08-31,Aug 2011,2,,,
2011-09-01,2011-09-30,Sep 2011,133,tiggrx,160,
2011-10-01,2011-10-31,Oct 2011,153,tiggrx,160,
2011-11-01,2011-11-30,Nov 2011,0,,,
2011-12-01,2011-12-31,Dec 2011,2,dgovoni,297,https://static.inaturalist.org/attachments/users/icons/297/medium.jpg?1475527490
2012-01-01,2012-01-31,Jan 2012,0,,,
2012-02-01,2012-02-29,Feb 2012,20,catastrophix,4760,https://static.inaturalist.org/attachments/users/icons/4760/medium.jpg?1475529721
2012-03-01,2012-03-31,Mar 2012,19,marcellc,5239,https://static.inaturalist.org/attachments/users/icons/5239/medium.jpg?1475529941
2012-04-01,2012-04-30,Apr 2012,11,briangratwicke,3406,https://static.inaturalist.org/attachments/users/icons/3406/medium.jpg?1475528834
2012-05-01,2012-05-31,May 2012,1,catastrophix,4760,https://static.inaturalist.org/attachments/users/icons/4760/medium.jpg?1475529721
2012-06-01,2012-06-30,Jun 2012,33,lampas,904,https://static.inaturalist.org/attachments/users/icons/904/medium.jpg?1475527734
2012-07-01,2012-07-31,Jul 2012,10,nikonoid,7998,https://static.inaturalist.org/attachments/users/icons/7998/medium.jpg?1475531427
2012-08-01,2012-08-31,Aug 2012,50,ryber,9028,https://static.inaturalist.org/attachments/users/icons/9028/medium.jpg?1476842435
2012-09-01,2012-09-30,Sep 2012,75,ryber,9028,https://static.inaturalist.org/attachments/users/icons/9028/medium.jpg?1476842435
2012-10-01,2012-10-31,Oct 2012,50,toby,2098,https://static.inaturalist.org/attachments/users/icons/2098/medium.jpg?1475528331
2012-11-01,2012-11-30,Nov 2012,2,ryber,9028,https://static.inaturalist.org/attachments/users/icons/9028/medium.jpg?1476842435
2012-12-01,2012-12-31,Dec 2012,95,greglasley,9706,https://static.inaturalist.org/attachments/users/icons/9706/medium.jpg?1509395956
2013-01-01,2013-01-31,Jan 2013,17,dreierj,11673,https://static.inaturalist.org/attachments/users/icons/11673/medium.jpg?1475533085
2013-02-01,2013-02-28,Feb 2013,63,joshanddani,13248,https://static.inaturalist.org/attachments/users/icons/13248/medium.jpg?1475533789
2013-03-01,2013-03-31,Mar 2013,42,hkmoths,4079,https://static.inaturalist.org/attachments/users/icons/4079/medium.jpg?1475768329
2013-04-01,2013-04-30,Apr 2013,30,carmelo_lopez,15211,https://static.inaturalist.org/attachments/users/icons/15211/medium.jpg?1475535487
2013-05-01,2013-05-31,May 2013,368,carmelo_lopez,15211,https://static.inaturalist.org/attachments/users/icons/15211/medium.jpg?1475535487
2013-06-01,2013-06-30,Jun 2013,42,carmelo_lopez,15211,https://static.inaturalist.org/attachments/users/icons/15211/medium.jpg?1475535487
2013-07-01,2013-07-31,Jul 2013,43,csavy,19061,https://static.inaturalist.org/attachments/users/icons/19061/medium.jpg?1475537691
2013-08-01,2013-08-31,Aug 2013,79,greglasley,9706,https://static.inaturalist.org/attachments/users/icons/9706/medium.jpg?1509395956
2013-09-01,2013-09-30,Sep 2013,57,jfrancis,21286,
2013-10-01,2013-10-31,Oct 2013,58,kcclarke,22997,
2013-11-01,2013-11-30,Nov 2013,93,pierre_t,1506,https://static.inaturalist.org/attachments/users/icons/1506/medium.jpg?1475528008
2013-12-01,2013-12-31,Dec 2013,24,adriaanbuys,25271,https://static.inaturalist.org/attachments/users/icons/25271/medium.jpg?1475540561
2014-01-01,2014-01-31,Jan 2014,170,trosenmeier,19375,https://static.inaturalist.org/attachments/users/icons/19375/medium.jpg?1475537855
2014-02-01,2014-02-28,Feb 2014,63,carmelo_lopez,15211,https://static.inaturalist.org/attachments/users/icons/15211/medium.jpg?1475535487
2014-03-01,2014-03-31,Mar 2014,187,laurenbaur,10562,https://static.inaturalist.org/attachments/users/icons/10562/medium.jpg?1475532697
2014-04-01,2014-04-30,Apr 2014,146,csavy,19061,https://static.inaturalist.org/attachments/users/icons/19061/medium.jpg?1475537691
2014-05-01,2014-05-31,May 2014,29,carmelo_lopez,15211,https://static.inaturalist.org/attachments/users/icons/15211/medium.jpg?1475535487
2014-06-01,2014-06-30,Jun 2014,12,nick_schaller,32429,https://static.inaturalist.org/attachments/users/icons/32429/medium.jpg?1475545212
2014-07-01,2014-07-31,Jul 2014,43,clintonjonker,25951,https://static.inaturalist.org/attachments/users/icons/25951/medium.jpg?1475540868
2014-08-01,2014-08-31,Aug 2014,199,muir,1000,https://static.inaturalist.org/attachments/users/icons/1000/medium.jpg?1475527774
2014-09-01,2014-09-30,Sep 2014,146,csavy,19061,https://static.inaturalist.org/attachments/users/icons/19061/medium.jpg?1475537691
2014-10-01,2014-10-31,Oct 2014,63,nick_schaller,32429,https://static.inaturalist.org/attachments/users/icons/32429/medium.jpg?1475545212
2014-11-01,2014-11-30,Nov 2014,251,joachim,18381,https://static.inaturalist.org/attachments/users/icons/18381/medium.jpg?1475537277
2014-12-01,2014-12-31,Dec 2014,50,joachim,18381,https://static.inaturalist.org/attachments/users/icons/18381/medium.jpg?1475537277
2015-01-01,2015-01-31,Jan 2015,383,johnnybirder,520,https://static.inaturalist.org/attachments/users/icons/520/medium.jpg?1475527599
2015-02-01,2015-02-28,Feb 2015,67,martinahoelzllwg,71927,https://static.inaturalist.org/attachments/users/icons/71927/medium.jpg?1475549308
2015-03-01,2015-03-31,Mar 2015,154,johnnybirder,520,https://static.inaturalist.org/attachments/users/icons/520/medium.jpg?1475527599
2015-04-01,2015-04-30,Apr 2015,78,peterslingsby,67428,https://static.inaturalist.org/attachments/users/icons/67428/medium.jpg?1475590559
2015-05-01,2015-05-31,May 2015,104,dhobern,4859,https://static.inaturalist.org/attachments/users/icons/4859/medium.jpg?1475529775
2015-06-01,2015-06-30,Jun 2015,395,johnnybirder,520,https://static.inaturalist.org/attachments/users/icons/520/medium.jpg?1475527599
2015-07-01,2015-07-31,Jul 2015,155,csavy,19061,https://static.inaturalist.org/attachments/users/icons/19061/medium.jpg?1475537691
2015-08-01,2015-08-31,Aug 2015,163,csavy,19061,https://static.inaturalist.org/attachments/users/icons/19061/medium.jpg?1475537691
2015-09-01,2015-09-30,Sep 2015,76,johnnybirder,520,https://static.inaturalist.org/attachments/users/icons/520/medium.jpg?1475527599
