raw_date,end_date,date,count,most_login,most_user,icon
2011-01-01,2011-01-31,Jan 2011,36,msr,516,https://static.inaturalist.org/attachments/users/icons/516/medium.jpg?1475527596
2011-02-01,2011-02-28,Feb 2011,0,,,
2011-03-01,2011-03-31,Mar 2011,1,trianglespace,843,
2011-04-01,2011-04-30,Apr 2011,0,,,
2011-05-01,2011-05-31,May 2011,33,jon_sullivan,1115,https://static.inaturalist.org/attachments/users/icons/1115/medium.jpg?1475527807
2011-06-01,2011-06-30,Jun 2011,9,pierre_t,1506,https://static.inaturalist.org/attachments/users/icons/1506/medium.jpg?1475528008
2011-07-01,2011-07-31,Jul 2011,16,pierre_t,1506,https://static.inaturalist.org/attachments/users/icons/1506/medium.jpg?1475528008
2011-08-01,2011-08-31,Aug 2011,6,ctracey,2370,https://static.inaturalist.org/attachments/users/icons/2370/medium.jpg?1475528463
2011-09-01,2011-09-30,Sep 2011,0,,,
2011-10-01,2011-10-31,Oct 2011,20,phil2,1435,https://static.inaturalist.org/attachments/users/icons/1435/medium.jpeg?1475527960
2011-11-01,2011-11-30,Nov 2011,0,,,
2011-12-01,2011-12-31,Dec 2011,64,sea-kangaroo,2991,https://static.inaturalist.org/attachments/users/icons/2991/medium.jpg?1475528667
2012-01-01,2012-01-31,Jan 2012,26,sea-kangaroo,2991,https://static.inaturalist.org/attachments/users/icons/2991/medium.jpg?1475528667
2012-02-01,2012-02-29,Feb 2012,6,anita363,3773,https://static.inaturalist.org/attachments/users/icons/3773/medium.jpeg?1475529044
2012-03-01,2012-03-31,Mar 2012,28,sea-kangaroo,2991,https://static.inaturalist.org/attachments/users/icons/2991/medium.jpg?1475528667
2012-04-01,2012-04-30,Apr 2012,10,myxonz,5293,https://static.inaturalist.org/attachments/users/icons/5293/medium.jpeg?1475529964
2012-05-01,2012-05-31,May 2012,3,pierre_t,1506,https://static.inaturalist.org/attachments/users/icons/1506/medium.jpg?1475528008
2012-06-01,2012-06-30,Jun 2012,52,johnnybirder,520,https://static.inaturalist.org/attachments/users/icons/520/medium.jpg?1475527599
2012-07-01,2012-07-31,Jul 2012,329,jon_sullivan,1115,https://static.inaturalist.org/attachments/users/icons/1115/medium.jpg?1475527807
2012-08-01,2012-08-31,Aug 2012,489,jon_sullivan,1115,https://static.inaturalist.org/attachments/users/icons/1115/medium.jpg?1475527807
2012-09-01,2012-09-30,Sep 2012,867,jon_sullivan,1115,https://static.inaturalist.org/attachments/users/icons/1115/medium.jpg?1475527807
2012-10-01,2012-10-31,Oct 2012,776,jon_sullivan,1115,https://static.inaturalist.org/attachments/users/icons/1115/medium.jpg?1475527807
2012-11-01,2012-11-30,Nov 2012,802,jon_sullivan,1115,https://static.inaturalist.org/attachments/users/icons/1115/medium.jpg?1475527807
2012-12-01,2012-12-31,Dec 2012,825,jon_sullivan,1115,https://static.inaturalist.org/attachments/users/icons/1115/medium.jpg?1475527807
2013-01-01,2013-01-31,Jan 2013,713,meurkc,5302,https://static.inaturalist.org/attachments/users/icons/5302/medium.jpg?1475529971
2013-02-01,2013-02-28,Feb 2013,1490,jon_sullivan,1115,https://static.inaturalist.org/attachments/users/icons/1115/medium.jpg?1475527807
2013-03-01,2013-03-31,Mar 2013,2437,jon_sullivan,1115,https://static.inaturalist.org/attachments/users/icons/1115/medium.jpg?1475527807
2013-04-01,2013-04-30,Apr 2013,2301,jon_sullivan,1115,https://static.inaturalist.org/attachments/users/icons/1115/medium.jpg?1475527807
2013-05-01,2013-05-31,May 2013,1973,jon_sullivan,1115,https://static.inaturalist.org/attachments/users/icons/1115/medium.jpg?1475527807
2013-06-01,2013-06-30,Jun 2013,1812,steve_kerr,58307,https://static.inaturalist.org/attachments/users/icons/58307/medium.png?1475588307
2013-07-01,2013-07-31,Jul 2013,1231,steve_kerr,58307,https://static.inaturalist.org/attachments/users/icons/58307/medium.png?1475588307
2013-08-01,2013-08-31,Aug 2013,1702,bbi2,58165,
2013-09-01,2013-09-30,Sep 2013,1870,jon_sullivan,1115,https://static.inaturalist.org/attachments/users/icons/1115/medium.jpg?1475527807
2013-10-01,2013-10-31,Oct 2013,2263,tylerbrummer,58492,https://static.inaturalist.org/attachments/users/icons/58492/medium.jpeg?1475588407
