raw_date,end_date,date,count,most_login,most_user,icon
2011-01-01,2011-01-31,Jan 2011,517,msr,516,https://static.inaturalist.org/attachments/users/icons/516/medium.jpg?1475527596
2011-02-01,2011-02-28,Feb 2011,735,loarie,477,https://static.inaturalist.org/attachments/users/icons/477/medium.jpg?1475527574
2011-03-01,2011-03-31,Mar 2011,867,curiousgeorge61,714,https://static.inaturalist.org/attachments/users/icons/714/medium.jpg?1493084981
2011-04-01,2011-04-30,Apr 2011,1482,kueda,1,https://static.inaturalist.org/attachments/users/icons/1/medium.jpg?1475527316
2011-05-01,2011-05-31,May 2011,1958,tapbirds,873,https://static.inaturalist.org/attachments/users/icons/873/medium.jpg?1475527722
2011-06-01,2011-06-30,Jun 2011,1843,eric_hunt,604,https://static.inaturalist.org/attachments/users/icons/604/medium.jpg?1506598702
2011-07-01,2011-07-31,Jul 2011,1573,wabbytwax,1175,https://static.inaturalist.org/attachments/users/icons/1175/medium.jpg?1475527821
2011-08-01,2011-08-31,Aug 2011,1502,charlie,2179,https://static.inaturalist.org/attachments/users/icons/2179/medium.jpg?1475528361
2011-09-01,2011-09-30,Sep 2011,1672,loarie,477,https://static.inaturalist.org/attachments/users/icons/477/medium.jpg?1475527574
2011-10-01,2011-10-31,Oct 2011,1580,loarie,477,https://static.inaturalist.org/attachments/users/icons/477/medium.jpg?1475527574
2011-11-01,2011-11-30,Nov 2011,1231,charlie,2179,https://static.inaturalist.org/attachments/users/icons/2179/medium.jpg?1475528361
2011-12-01,2011-12-31,Dec 2011,2141,sea-kangaroo,2991,https://static.inaturalist.org/attachments/users/icons/2991/medium.jpg?1475528667
2012-01-01,2012-01-31,Jan 2012,2653,charlie,2179,https://static.inaturalist.org/attachments/users/icons/2179/medium.jpg?1475528361
2012-02-01,2012-02-29,Feb 2012,2578,jay,4530,https://static.inaturalist.org/attachments/users/icons/4530/medium.jpg?1475529626
2012-03-01,2012-03-31,Mar 2012,3496,hartvillestuff,5245,https://static.inaturalist.org/attachments/users/icons/5245/medium.jpg?1475529946
2012-04-01,2012-04-30,Apr 2012,6996,sea-kangaroo,2991,https://static.inaturalist.org/attachments/users/icons/2991/medium.jpg?1475528667
2012-05-01,2012-05-31,May 2012,8695,anaris328,5362,
2012-06-01,2012-06-30,Jun 2012,6738,loarie,477,https://static.inaturalist.org/attachments/users/icons/477/medium.jpg?1475527574
2012-07-01,2012-07-31,Jul 2012,5741,muir,1000,https://static.inaturalist.org/attachments/users/icons/1000/medium.jpg?1475527774
2012-08-01,2012-08-31,Aug 2012,5534,rcurtis,4860,https://static.inaturalist.org/attachments/users/icons/4860/medium.jpeg?1475529777
2012-09-01,2012-09-30,Sep 2012,5350,brewbooks,8641,https://static.inaturalist.org/attachments/users/icons/8641/medium.jpg?1475531702
2012-10-01,2012-10-31,Oct 2012,6597,finatic,10285,https://static.inaturalist.org/attachments/users/icons/10285/medium.jpg?1475532519
2012-11-01,2012-11-30,Nov 2012,8207,finatic,10285,https://static.inaturalist.org/attachments/users/icons/10285/medium.jpg?1475532519
2012-12-01,2012-12-31,Dec 2012,6366,finatic,10285,https://static.inaturalist.org/attachments/users/icons/10285/medium.jpg?1475532519
2013-01-01,2013-01-31,Jan 2013,7897,finatic,10285,https://static.inaturalist.org/attachments/users/icons/10285/medium.jpg?1475532519
2013-02-01,2013-02-28,Feb 2013,9532,greglasley,9706,https://static.inaturalist.org/attachments/users/icons/9706/medium.jpg?1475532223
2013-03-01,2013-03-31,Mar 2013,11203,finatic,10285,https://static.inaturalist.org/attachments/users/icons/10285/medium.jpg?1475532519
2013-04-01,2013-04-30,Apr 2013,14389,finatic,10285,https://static.inaturalist.org/attachments/users/icons/10285/medium.jpg?1475532519
2013-05-01,2013-05-31,May 2013,19176,finatic,10285,https://static.inaturalist.org/attachments/users/icons/10285/medium.jpg?1475532519
2013-06-01,2013-06-30,Jun 2013,19080,finatic,10285,https://static.inaturalist.org/attachments/users/icons/10285/medium.jpg?1475532519
2013-07-01,2013-07-31,Jul 2013,22381,finatic,10285,https://static.inaturalist.org/attachments/users/icons/10285/medium.jpg?1475532519
2013-08-01,2013-08-31,Aug 2013,20684,finatic,10285,https://static.inaturalist.org/attachments/users/icons/10285/medium.jpg?1475532519
2013-09-01,2013-09-30,Sep 2013,17604,ctracey,2370,https://static.inaturalist.org/attachments/users/icons/2370/medium.jpg?1475528463
2013-10-01,2013-10-31,Oct 2013,16497,finatic,10285,https://static.inaturalist.org/attachments/users/icons/10285/medium.jpg?1475532519
2013-11-01,2013-11-30,Nov 2013,14166,finatic,10285,https://static.inaturalist.org/attachments/users/icons/10285/medium.jpg?1475532519
2013-12-01,2013-12-31,Dec 2013,9199,finatic,10285,https://static.inaturalist.org/attachments/users/icons/10285/medium.jpg?1475532519
2014-01-01,2014-01-31,Jan 2014,12432,anita363,3773,https://static.inaturalist.org/attachments/users/icons/3773/medium.jpeg?1475529044
2014-02-01,2014-02-28,Feb 2014,14546,calopteryx,30601,https://static.inaturalist.org/attachments/users/icons/30601/medium.jpg?1475543524
2014-03-01,2014-03-31,Mar 2014,26704,calopteryx,30601,https://static.inaturalist.org/attachments/users/icons/30601/medium.jpg?1475543524
2014-04-01,2014-04-30,Apr 2014,27492,finatic,10285,https://static.inaturalist.org/attachments/users/icons/10285/medium.jpg?1475532519
2014-05-01,2014-05-31,May 2014,35152,muir,1000,https://static.inaturalist.org/attachments/users/icons/1000/medium.jpg?1475527774
2014-06-01,2014-06-30,Jun 2014,31348,srall,35078,https://static.inaturalist.org/attachments/users/icons/35078/medium.jpg?1475546130
2014-07-01,2014-07-31,Jul 2014,30218,finatic,10285,https://static.inaturalist.org/attachments/users/icons/10285/medium.jpg?1475532519
2014-08-01,2014-08-31,Aug 2014,27109,charlie,2179,https://static.inaturalist.org/attachments/users/icons/2179/medium.jpg?1475528361
2014-09-01,2014-09-30,Sep 2014,25132,finatic,10285,https://static.inaturalist.org/attachments/users/icons/10285/medium.jpg?1475532519
2014-10-01,2014-10-31,Oct 2014,23964,finatic,10285,https://static.inaturalist.org/attachments/users/icons/10285/medium.jpg?1475532519
2014-11-01,2014-11-30,Nov 2014,22893,erikamitchell,12158,https://static.inaturalist.org/attachments/users/icons/12158/medium.jpeg?1475533280
2014-12-01,2014-12-31,Dec 2014,20594,sambiology,22589,https://static.inaturalist.org/attachments/users/icons/22589/medium.jpg?1475539439
2015-01-01,2015-01-31,Jan 2015,19776,jaykeller,27743,https://static.inaturalist.org/attachments/users/icons/27743/medium.jpg?1498531889
2015-02-01,2015-02-28,Feb 2015,21353,jaykeller,27743,https://static.inaturalist.org/attachments/users/icons/27743/medium.jpg?1498531889
2015-03-01,2015-03-31,Mar 2015,34911,berkshirenaturalist,53860,https://static.inaturalist.org/attachments/users/icons/53860/medium.jpeg?1501943588
2015-04-01,2015-04-30,Apr 2015,42315,glmory,52839,https://static.inaturalist.org/attachments/users/icons/52839/medium.jpg?1475553648
2015-05-01,2015-05-31,May 2015,64507,erikamitchell,12158,https://static.inaturalist.org/attachments/users/icons/12158/medium.jpeg?1475533280
2015-06-01,2015-06-30,Jun 2015,55760,cedric_lee,12809,https://static.inaturalist.org/attachments/users/icons/12809/medium.jpg?1483556112
2015-07-01,2015-07-31,Jul 2015,55317,cedric_lee,12809,https://static.inaturalist.org/attachments/users/icons/12809/medium.jpg?1483556112
2015-08-01,2015-08-31,Aug 2015,46334,reallifeecology,15723,https://static.inaturalist.org/attachments/users/icons/15723/medium.jpg?1475535710
2015-09-01,2015-09-30,Sep 2015,47578,erikamitchell,12158,https://static.inaturalist.org/attachments/users/icons/12158/medium.jpeg?1475533280
2015-10-01,2015-10-31,Oct 2015,47506,sambiology,22589,https://static.inaturalist.org/attachments/users/icons/22589/medium.jpg?1475539439
2015-11-01,2015-11-30,Nov 2015,41890,erikamitchell,12158,https://static.inaturalist.org/attachments/users/icons/12158/medium.jpeg?1475533280
2015-12-01,2015-12-31,Dec 2015,32069,sandboa,6690,https://static.inaturalist.org/attachments/users/icons/6690/medium.jpg?1475530763
2016-01-01,2016-01-31,Jan 2016,37462,reallifeecology,15723,https://static.inaturalist.org/attachments/users/icons/15723/medium.jpg?1475535710
2016-02-01,2016-02-29,Feb 2016,45331,reallifeecology,15723,https://static.inaturalist.org/attachments/users/icons/15723/medium.jpg?1475535710
2016-03-01,2016-03-31,Mar 2016,69084,reallifeecology,15723,https://static.inaturalist.org/attachments/users/icons/15723/medium.jpg?1475535710
2016-04-01,2016-04-30,Apr 2016,124227,silversea_starsong,6971,https://static.inaturalist.org/attachments/users/icons/6971/medium.jpg?1496197825
2016-05-01,2016-05-31,May 2016,154491,vils_bioblitz_bearden,212616,
2016-06-01,2016-06-30,Jun 2016,116104,leptonia,5179,https://static.inaturalist.org/attachments/users/icons/5179/medium.jpg?1492195206
2016-07-01,2016-07-31,Jul 2016,101866,jokurtz,267179,https://static.inaturalist.org/attachments/users/icons/267179/medium.jpg?1486009596
2016-08-01,2016-08-31,Aug 2016,132128,marykeim,309089,https://static.inaturalist.org/attachments/users/icons/309089/medium.jpg?1506633130
2016-09-01,2016-09-30,Sep 2016,127836,marykeim,309089,https://static.inaturalist.org/attachments/users/icons/309089/medium.jpg?1506633130
2016-10-01,2016-10-31,Oct 2016,117160,sambiology,22589,https://static.inaturalist.org/attachments/users/icons/22589/medium.jpg?1475539439
2016-11-01,2016-11-30,Nov 2016,88963,srall,35078,https://static.inaturalist.org/attachments/users/icons/35078/medium.jpg?1475546130
2016-12-01,2016-12-31,Dec 2016,76141,alan_rockefeller,25945,https://static.inaturalist.org/attachments/users/icons/25945/medium.jpg?1475540865
2017-01-01,2017-01-31,Jan 2017,72263,reallifeecology,15723,https://static.inaturalist.org/attachments/users/icons/15723/medium.jpg?1475535710
2017-02-01,2017-02-28,Feb 2017,81319,ck2az,264009,https://static.inaturalist.org/attachments/users/icons/264009/medium.jpg?1501893266
2017-03-01,2017-03-31,Mar 2017,148284,ck2az,264009,https://static.inaturalist.org/attachments/users/icons/264009/medium.jpg?1501893266
2017-04-01,2017-04-30,Apr 2017,335604,ck2az,264009,https://static.inaturalist.org/attachments/users/icons/264009/medium.jpg?1501893266
2017-05-01,2017-05-31,May 2017,241978,ck2az,264009,https://static.inaturalist.org/attachments/users/icons/264009/medium.jpg?1501893266
2017-06-01,2017-06-30,Jun 2017,233466,august_farrow,460961,https://static.inaturalist.org/attachments/users/icons/460961/medium.jpg?1494699959
2017-07-01,2017-07-31,Jul 2017,246072,ck2az,264009,https://static.inaturalist.org/attachments/users/icons/264009/medium.jpg?1501893266
2017-08-01,2017-08-31,Aug 2017,237454,ck2az,264009,https://static.inaturalist.org/attachments/users/icons/264009/medium.jpg?1501893266
2017-09-01,2017-09-30,Sep 2017,251185,srall,35078,https://static.inaturalist.org/attachments/users/icons/35078/medium.jpg?1475546130
