"login","user_id","user_icon","identifications","species","wg"
"neotomastolemykeys",102175,"https://static.inaturalist.org/attachments/users/icons/102175/medium.jpg?1475545470",175,35,0
"finatic",10285,"https://static.inaturalist.org/attachments/users/icons/10285/medium.jpg?1475532519",167,91,0
"c_michael_hogan",4857,"https://static.inaturalist.org/attachments/users/icons/4857/medium.jpg?1475529773",166,127,0
"schoenitz",340786,"https://static.inaturalist.org/attachments/users/icons/340786/medium.jpg?1481050563",164,28,0
"thunefeld",231709,"https://static.inaturalist.org/attachments/users/icons/231709/medium.jpg?1475543374",163,23,0
"adammyates",373563,"https://static.inaturalist.org/attachments/users/icons/373563/medium.jpg?1479893628",163,40,1
"tony_wills",16490,"https://static.inaturalist.org/attachments/users/icons/16490/medium.gif?1475536073",162,30,1
"ericwilliams",275627,"https://static.inaturalist.org/attachments/users/icons/275627/medium.jpeg?1502281701",159,11,0
"srall",35078,"https://static.inaturalist.org/attachments/users/icons/35078/medium.jpg?1475546130",157,12,0
"umpquamatt",416993,"https://static.inaturalist.org/attachments/users/icons/416993/medium.jpg?1490505704",157,32,0
"smerjeevski",432057,"",157,16,0
"star3",370785,"",154,43,0
"lisa_bennett",59227,"https://static.inaturalist.org/attachments/users/icons/59227/medium.jpg?1475588596",152,79,0
"alexdreyer",389988,"https://static.inaturalist.org/attachments/users/icons/389988/medium.jpg?1507724791",152,18,0
"dejong",13948,"https://static.inaturalist.org/attachments/users/icons/13948/medium.jpg?1475534023",151,77,0
"beartracker",17711,"https://static.inaturalist.org/attachments/users/icons/17711/medium.jpeg?1475536688",151,52,0
"pma",650087,"",148,52,0
"reiner",222137,"https://static.inaturalist.org/attachments/users/icons/222137/medium.jpg?1499517650",145,21,0
"nora4",266310,"",143,6,0
"piresj",335040,"https://static.inaturalist.org/attachments/users/icons/335040/medium.jpg?1479482867",140,11,0
"christine123",103695,"https://static.inaturalist.org/attachments/users/icons/103695/medium.jpg?1475545795",138,24,0
"jaliya",110360,"",136,27,0
"glmory",52839,"https://static.inaturalist.org/attachments/users/icons/52839/medium.jpg?1475553648",135,28,0
"august_farrow",460961,"https://static.inaturalist.org/attachments/users/icons/460961/medium.jpg?1494699959",133,26,0
"bkorol",533871,"https://static.inaturalist.org/attachments/users/icons/533871/medium.jpg?1500340689",128,104,0
"gdietsch",609224,"",127,1,0
"janaohrner",516068,"",126,38,0
"poncho",40730,"https://static.inaturalist.org/attachments/users/icons/40730/medium.jpg?1475548319",124,48,0
"reuvenm",42004,"https://static.inaturalist.org/attachments/users/icons/42004/medium.jpg?1511555921",124,32,0
"rmorgan",271207,"https://static.inaturalist.org/attachments/users/icons/271207/medium.jpg?1491356233",124,9,0
"ariel-shamir",116494,"https://static.inaturalist.org/attachments/users/icons/116494/medium.jpg?1475549467",123,18,1
"smpvolunteer-jcannon",313678,"https://static.inaturalist.org/attachments/users/icons/313678/medium.jpg?1493050686",121,21,0
"bryanto",3499,"https://static.inaturalist.org/attachments/users/icons/3499/medium.jpg?1475528879",120,91,0
"gyrrlfalcon",8778,"https://static.inaturalist.org/attachments/users/icons/8778/medium.jpg?1505751598",120,73,0
"cmcheatle",409010,"https://static.inaturalist.org/attachments/users/icons/409010/medium.jpeg?1487442398",119,17,0
"natureinla",21786,"https://static.inaturalist.org/attachments/users/icons/21786/medium.png?1475539082",118,27,0
"wilddallas",264768,"https://static.inaturalist.org/attachments/users/icons/264768/medium.jpg?1475536524",118,13,0
"hardinglee",599046,"https://static.inaturalist.org/attachments/users/icons/599046/medium.jpg?1503438923",117,91,0
"elliotgreiner",292489,"https://static.inaturalist.org/attachments/users/icons/292489/medium.jpg?1503547201",116,28,0
"mako252",18812,"https://static.inaturalist.org/attachments/users/icons/18812/medium.jpg?1491249260",115,32,0
"sergiomtz",457568,"https://static.inaturalist.org/attachments/users/icons/457568/medium.jpg?1501471543",115,46,0
"psweet",216168,"https://static.inaturalist.org/attachments/users/icons/216168/medium.jpg?1478731222",112,81,0
"nba52",254155,"https://static.inaturalist.org/attachments/users/icons/254155/medium.jpg?1475533932",112,41,0
"gwark",14812,"https://static.inaturalist.org/attachments/users/icons/14812/medium.jpg?1475535346",110,23,0
"richardmonteverdense",386641,"https://static.inaturalist.org/attachments/users/icons/386641/medium.jpg?1489792315",110,27,0
"momoto-erick",26699,"https://static.inaturalist.org/attachments/users/icons/26699/medium.jpg?1511759087",109,20,0
"camilojotage",86081,"https://static.inaturalist.org/attachments/users/icons/86081/medium.jpg?1512083187",109,42,1
"damontighe",3494,"https://static.inaturalist.org/attachments/users/icons/3494/medium.jpg?1475528878",108,75,0
"charley",72880,"https://static.inaturalist.org/attachments/users/icons/72880/medium.jpg?1475549521",108,40,0
"sanguinaria33",35203,"https://static.inaturalist.org/attachments/users/icons/35203/medium.jpg?1506652998",107,23,0
"doug_grinbergs",443895,"",107,16,0
"markread",113793,"https://static.inaturalist.org/attachments/users/icons/113793/medium.jpg?1495794866",106,31,0
"birdizlife",154438,"https://static.inaturalist.org/attachments/users/icons/154438/medium.jpg?1483550165",106,56,0
"eknuth",199809,"",106,55,0
"bethpratt1",8172,"https://static.inaturalist.org/attachments/users/icons/8172/medium.jpg?1481505449",105,39,0
"ncowey",64142,"https://static.inaturalist.org/attachments/users/icons/64142/medium.jpg?1475590057",104,25,0
"nanorca13",111522,"https://static.inaturalist.org/attachments/users/icons/111522/medium.jpg?1475548128",103,28,0
"bmvig",245719,"https://static.inaturalist.org/attachments/users/icons/245719/medium.jpg?1491004529",103,30,0
"marroquidavi",376421,"https://static.inaturalist.org/attachments/users/icons/376421/medium.jpg?1499735660",103,12,0
"oddb",384877,"https://static.inaturalist.org/attachments/users/icons/384877/medium.png?1483113613",103,25,0
"csavy",19061,"https://static.inaturalist.org/attachments/users/icons/19061/medium.jpg?1475537691",102,168,0
"lonnyholmes",53702,"https://static.inaturalist.org/attachments/users/icons/53702/medium.jpg?1475588221",102,31,0
"gordon_dietzman",265027,"",102,35,0
"austin0201",626790,"https://static.inaturalist.org/attachments/users/icons/626790/medium.jpg?1505880468",102,53,0
"koinpro",284003,"https://static.inaturalist.org/attachments/users/icons/284003/medium.jpg?1475530597",101,14,0
"avocat",91922,"",99,52,0
"tkoffel",320666,"https://static.inaturalist.org/attachments/users/icons/320666/medium.jpg?1511742798",99,60,0
"mathiasdhaen",356870,"https://static.inaturalist.org/attachments/users/icons/356870/medium.jpg?1510246641",99,89,0
"kvanwest",650553,"https://static.inaturalist.org/attachments/users/icons/650553/medium.jpg?1506726154",99,10,0
"tsirtalis",19215,"https://static.inaturalist.org/attachments/users/icons/19215/medium.jpg?1506180846",98,57,0
"pantanaldouglas",29578,"https://static.inaturalist.org/attachments/users/icons/29578/medium.png?1475542968",98,10,1
"annetcurran",152894,"",98,7,0
"aalilith",415184,"",98,70,0
"bobmcd",83288,"https://static.inaturalist.org/attachments/users/icons/83288/medium.png?1475546514",97,67,0
"truthseqr",209572,"https://static.inaturalist.org/attachments/users/icons/209572/medium.jpg?1491681286",97,22,0
"dmhaan",169388,"https://static.inaturalist.org/attachments/users/icons/169388/medium.jpg?1479534168",96,47,0
"pierre_t",1506,"https://static.inaturalist.org/attachments/users/icons/1506/medium.jpg?1475528008",95,58,0
"direbecca",5327,"https://static.inaturalist.org/attachments/users/icons/5327/medium.jpg?1475529988",95,39,0
"nelruzam",88577,"https://static.inaturalist.org/attachments/users/icons/88577/medium.jpg?1500408226",95,38,0
"cliygh-and-mia",121021,"https://static.inaturalist.org/attachments/users/icons/121021/medium.jpg?1506785477",95,21,0
"milliebasden",159364,"https://static.inaturalist.org/attachments/users/icons/159364/medium.jpg?1492394054",95,24,0
"mmulqueen",384718,"https://static.inaturalist.org/attachments/users/icons/384718/medium.jpg?1494637779",94,48,0
"mazer",78845,"https://static.inaturalist.org/attachments/users/icons/78845/medium.jpg?1475553530",93,35,0
"carita",309220,"https://static.inaturalist.org/attachments/users/icons/309220/medium.jpeg?1475530463",91,55,0
"owlentine",307976,"https://static.inaturalist.org/attachments/users/icons/307976/medium.jpg?1480480282",90,33,0
"maractwin",10787,"https://static.inaturalist.org/attachments/users/icons/10787/medium.jpg?1479735613",89,81,0
"thomasabenson",513187,"",89,51,0
"howardfriedman1",8706,"https://static.inaturalist.org/attachments/users/icons/8706/medium.jpeg?1475531741",88,56,0
"jbroadhead3",228699,"https://static.inaturalist.org/attachments/users/icons/228699/medium.jpg?1503861329",88,48,0
"stanvrem",615980,"https://static.inaturalist.org/attachments/users/icons/615980/medium.png?1504689259",88,69,0
"emilianomori",30480,"https://static.inaturalist.org/attachments/users/icons/30480/medium.jpg?1475543451",87,59,1
"rjadams55",108450,"https://static.inaturalist.org/attachments/users/icons/108450/medium.jpg?1475547483",87,92,0
"cypseloides",6097,"https://static.inaturalist.org/attachments/users/icons/6097/medium.jpg?1475530497",85,91,0
"natureali",10326,"https://static.inaturalist.org/attachments/users/icons/10326/medium.jpg?1476882861",85,70,0
"maxkirsch",84719,"https://static.inaturalist.org/attachments/users/icons/84719/medium.jpg?1475546877",84,74,0
"amarzee",94627,"https://static.inaturalist.org/attachments/users/icons/94627/medium.jpg?1475549667",84,58,0
"philwarren",141551,"https://static.inaturalist.org/attachments/users/icons/141551/medium.jpg?1475546544",84,18,0
"nothermature",406079,"https://static.inaturalist.org/attachments/users/icons/406079/medium.jpg?1487751276",84,39,0
"marcelfinlay",514269,"https://static.inaturalist.org/attachments/users/icons/514269/medium.jpg?1508753103",84,33,0
"scdevaney",115757,"https://static.inaturalist.org/attachments/users/icons/115757/medium.jpg?1475549284",83,37,0
"donaldasutherland",437461,"https://static.inaturalist.org/attachments/users/icons/437461/medium.jpg?1490904680",83,31,0
"paloma",32455,"https://static.inaturalist.org/attachments/users/icons/32455/medium.jpg?1512234560",82,78,0
"ctnash",56471,"",82,51,0
"kueda",1,"https://static.inaturalist.org/attachments/users/icons/1/medium.jpg?1475527316",81,96,0
"jpgalvan",44450,"",81,61,0
"tkirk304",356634,"https://static.inaturalist.org/attachments/users/icons/356634/medium.jpg?1477262089",81,15,0
"ryber",9028,"https://static.inaturalist.org/attachments/users/icons/9028/medium.jpg?1476842435",80,57,0
"azgulo",136877,"https://static.inaturalist.org/attachments/users/icons/136877/medium.jpg?1504021514",80,65,0
"jonpoppele",204496,"https://static.inaturalist.org/attachments/users/icons/204496/medium.jpg?1475537574",80,27,0
"michelemignini",266206,"https://static.inaturalist.org/attachments/users/icons/266206/medium.png?1475536767",80,25,0
"robustus_",315241,"https://static.inaturalist.org/attachments/users/icons/315241/medium.jpg?1497895874",80,37,0
"karoltabarellidefatis",92931,"https://static.inaturalist.org/attachments/users/icons/92931/medium.jpg?1475549280",79,43,0
"nanofishology",90526,"https://static.inaturalist.org/attachments/users/icons/90526/medium.jpg?1496122886",78,33,0
"reddad",132154,"https://static.inaturalist.org/attachments/users/icons/132154/medium.jpg?1475543836",78,12,0
"vermfly",3057,"https://static.inaturalist.org/attachments/users/icons/3057/medium.jpg?1475528688",77,33,0
"charro",24791,"https://static.inaturalist.org/attachments/users/icons/24791/medium.jpg?1475527621",76,59,0
"jblinde",63310,"https://static.inaturalist.org/attachments/users/icons/63310/medium.jpg?1475590314",76,12,0
"tremarctos",458751,"https://static.inaturalist.org/attachments/users/icons/458751/medium.jpg?1492739801",76,68,0
"jeweledweevil",472324,"",76,7,0
"jon_sullivan",1115,"https://static.inaturalist.org/attachments/users/icons/1115/medium.jpg?1475527807",74,37,0
"jprekop",6187,"https://static.inaturalist.org/attachments/users/icons/6187/medium.jpg?1488222609",74,10,0
"michaelbakkerpaiva",25160,"https://static.inaturalist.org/attachments/users/icons/25160/medium.png?1501086737",74,28,0
"shaunmichael",105431,"https://static.inaturalist.org/attachments/users/icons/105431/medium.jpg?1475546109",74,30,0
"terrilldactyl",364713,"https://static.inaturalist.org/attachments/users/icons/364713/medium.jpg?1509042766",74,43,0
"kimssight",80984,"https://static.inaturalist.org/attachments/users/icons/80984/medium.jpg?1475545849",73,24,0
"ggoatboy",276236,"https://static.inaturalist.org/attachments/users/icons/276236/medium.jpg?1475529138",73,23,0
"jeffmci9",435598,"https://static.inaturalist.org/attachments/users/icons/435598/medium.jpg?1491017960",73,23,0
"lukeberg",499808,"",73,42,0
"cbruner",539881,"https://static.inaturalist.org/attachments/users/icons/539881/medium.jpg?1500688276",73,31,0
"allen_boynton",150629,"https://static.inaturalist.org/attachments/users/icons/150629/medium.jpg?1475537620",72,25,0
"lizlovesnature",169187,"https://static.inaturalist.org/attachments/users/icons/169187/medium.jpg?1475541665",72,20,0
"alex_bairstow",317669,"https://static.inaturalist.org/attachments/users/icons/317669/medium.jpg?1504400797",72,40,0
"bluevalhalla",336699,"https://static.inaturalist.org/attachments/users/icons/336699/medium.jpg?1475529390",72,60,0
"hawnzd",51931,"https://static.inaturalist.org/attachments/users/icons/51931/medium.jpg?1495751150",71,33,0
"crx2aj3",368287,"",71,39,0
"e-aus-kanada",198686,"https://static.inaturalist.org/attachments/users/icons/198686/medium.jpg?1475540845",70,21,0
"rynaturalist",340222,"https://static.inaturalist.org/attachments/users/icons/340222/medium.jpg?1497172905",70,24,0
"diego4nature",427782,"https://static.inaturalist.org/attachments/users/icons/427782/medium.jpg?1491673540",70,29,0
"robberfly",13979,"https://static.inaturalist.org/attachments/users/icons/13979/medium.jpg?1494699553",69,79,0
"scubabruin",81779,"https://static.inaturalist.org/attachments/users/icons/81779/medium.jpg?1475546101",69,17,0
"annechw",389193,"https://static.inaturalist.org/attachments/users/icons/389193/medium.jpg?1486963207",69,32,0
"crystallize",423042,"https://static.inaturalist.org/attachments/users/icons/423042/medium.jpg?1489621670",69,5,0
"muir",1000,"https://static.inaturalist.org/attachments/users/icons/1000/medium.jpg?1475527774",68,215,0
"leptonia",5179,"https://static.inaturalist.org/attachments/users/icons/5179/medium.jpg?1492195206",68,59,0
"cosmiccat",34728,"https://static.inaturalist.org/attachments/users/icons/34728/medium.png?1475546029",68,22,0
"rroutledge",119644,"https://static.inaturalist.org/attachments/users/icons/119644/medium.jpg?1508129177",68,25,0
"gshugart",145232,"",68,14,0
"clem",174643,"https://static.inaturalist.org/attachments/users/icons/174643/medium.jpg?1499035075",68,23,0
"ericcleveland",282220,"https://static.inaturalist.org/attachments/users/icons/282220/medium.jpg?1487256924",67,32,0
"bbunny",1850,"https://static.inaturalist.org/attachments/users/icons/1850/medium.jpeg?1475528210",66,45,0
"connorliger",226804,"",66,4,0
"bouteloua",8882,"https://static.inaturalist.org/attachments/users/icons/8882/medium.jpg?1481137726",65,30,0
"henicorhina",19563,"https://static.inaturalist.org/attachments/users/icons/19563/medium.jpg?1482809374",65,49,0
"luca_maurino",108958,"https://static.inaturalist.org/attachments/users/icons/108958/medium.jpg?1475547578",65,24,0
"skrentnyjeff",257635,"https://static.inaturalist.org/attachments/users/icons/257635/medium.jpg?1475535567",65,48,0
"jefferykarafa",487427,"https://static.inaturalist.org/attachments/users/icons/487427/medium.jpg?1496198748",65,21,0
"comores3",567196,"https://static.inaturalist.org/attachments/users/icons/567196/medium.jpg?1502170331",65,26,0
"wvpd",18021,"https://static.inaturalist.org/attachments/users/icons/18021/medium.png?1475537102",64,17,0
"inasiebert",213733,"https://static.inaturalist.org/attachments/users/icons/213733/medium.jpg?1475539289",64,20,0
"jason_m",293449,"https://static.inaturalist.org/attachments/users/icons/293449/medium.jpeg?1475533794",64,13,0
"tharkibo",512067,"",64,8,0
"jonahevans",10553,"https://static.inaturalist.org/attachments/users/icons/10553/medium.jpg?1475532692",63,98,0
"wouterkoch",26121,"https://static.inaturalist.org/attachments/users/icons/26121/medium.jpg?1475540931",63,25,0
"isaac_krone",116788,"https://static.inaturalist.org/attachments/users/icons/116788/medium.png?1475549550",63,39,0
"linneav",233217,"https://static.inaturalist.org/attachments/users/icons/233217/medium.jpg?1475543600",63,66,0
"jemredwood",416201,"https://static.inaturalist.org/attachments/users/icons/416201/medium.jpg?1509752500",63,16,0
"dfwuw",24576,"https://static.inaturalist.org/attachments/users/icons/24576/medium.jpg?1475540312",62,26,0
"patty_teague",353521,"https://static.inaturalist.org/attachments/users/icons/353521/medium.jpg?1476907195",62,15,0
"nyoni-pete",108966,"https://static.inaturalist.org/attachments/users/icons/108966/medium.jpg?1483508590",61,28,0
"jwalewski",111581,"https://static.inaturalist.org/attachments/users/icons/111581/medium.jpg?1475548146",61,20,0
"tegorl",142253,"https://static.inaturalist.org/attachments/users/icons/142253/medium.jpg?1475546750",61,28,0
"ldjaffe",335645,"",61,19,0
"jeremybarker",464262,"https://static.inaturalist.org/attachments/users/icons/464262/medium.jpeg?1493132735",61,40,0
"rogerbirkhead",512125,"https://static.inaturalist.org/attachments/users/icons/512125/medium.jpg?1500064867",61,26,0
"tiwane",28,"https://static.inaturalist.org/attachments/users/icons/28/medium.jpg?1494561255",60,47,0
"gcwarbler",27047,"https://static.inaturalist.org/attachments/users/icons/27047/medium.jpg?1513308684",60,45,0
"catchang",179103,"https://static.inaturalist.org/attachments/users/icons/179103/medium.jpg?1475544619",60,27,0
"restlessspaces",393816,"https://static.inaturalist.org/attachments/users/icons/393816/medium.jpg?1485109844",60,1,0
"mjandersen",614085,"https://static.inaturalist.org/attachments/users/icons/614085/medium.jpg?1504629098",60,36,0
"sophie",6683,"https://static.inaturalist.org/attachments/users/icons/6683/medium.jpg?1475530756",59,14,0
"bhawn18",105332,"https://static.inaturalist.org/attachments/users/icons/105332/medium.jpeg?1496512909",59,33,0
"nikborrow",137939,"https://static.inaturalist.org/attachments/users/icons/137939/medium.jpeg?1475545674",59,58,0
"drcolintrainor",351706,"",59,17,0
"anthonywood",457523,"https://static.inaturalist.org/attachments/users/icons/457523/medium.jpg?1493150381",59,27,0
"alazere",475845,"https://static.inaturalist.org/attachments/users/icons/475845/medium.jpeg?1499183578",59,49,0
"itai",476302,"",59,14,0
"jasonjdking",513112,"https://static.inaturalist.org/attachments/users/icons/513112/medium.jpg?1498483209",59,12,0
"taogirl",9434,"https://static.inaturalist.org/attachments/users/icons/9434/medium.jpg?1497650250",58,35,0
"johnkarges",18994,"https://static.inaturalist.org/attachments/users/icons/18994/medium.jpg?1475537659",58,44,0
"annikaml",24973,"https://static.inaturalist.org/attachments/users/icons/24973/medium.jpg?1511337448",58,51,0
"john_barkla",57756,"https://static.inaturalist.org/attachments/users/icons/57756/medium.jpg?1475589621",58,42,0
"dphyillaier",72752,"https://static.inaturalist.org/attachments/users/icons/72752/medium.jpeg?1475549491",58,20,0
"arturoc",175755,"https://static.inaturalist.org/attachments/users/icons/175755/medium.jpg?1504038613",58,22,0
"jschweg",212101,"https://static.inaturalist.org/attachments/users/icons/212101/medium.jpg?1498863141",58,26,0
"sandiegomike",287395,"https://static.inaturalist.org/attachments/users/icons/287395/medium.jpg?1490807164",58,25,0
"kenchamberlain",319374,"https://static.inaturalist.org/attachments/users/icons/319374/medium.jpg?1475533539",58,43,0
"hervin_yaxkin",25308,"https://static.inaturalist.org/attachments/users/icons/25308/medium.jpg?1475540575",57,24,0
"jacqui-nz",58314,"https://static.inaturalist.org/attachments/users/icons/58314/medium.jpg?1475588315",57,10,0
"katharinab",330945,"https://static.inaturalist.org/attachments/users/icons/330945/medium.jpg?1478456750",57,14,0
"ekmoody",382741,"https://static.inaturalist.org/attachments/users/icons/382741/medium.jpg?1482363294",57,39,0
"ryanhodnett",422985,"https://static.inaturalist.org/attachments/users/icons/422985/medium.jpg?1500300320",57,13,0
"melimez",425568,"https://static.inaturalist.org/attachments/users/icons/425568/medium.jpg?1490205196",57,27,0
"rjq",471631,"",57,40,0
"mtncatt",5240,"https://static.inaturalist.org/attachments/users/icons/5240/medium.jpeg?1475529943",56,30,0
"matthew_salkiewicz",16576,"https://static.inaturalist.org/attachments/users/icons/16576/medium.jpg?1491351951",56,32,0
"krysta",185080,"https://static.inaturalist.org/attachments/users/icons/185080/medium.jpg?1483754231",56,36,0
"neontetraploid",220795,"https://static.inaturalist.org/attachments/users/icons/220795/medium.jpg?1475540856",56,19,0
"ash2016",264913,"",56,48,0
"mmcginty19",662245,"",56,1,0
"max_65",675852,"https://static.inaturalist.org/attachments/users/icons/675852/medium.jpg?1510684683",56,13,0
"susanelliott",12610,"https://static.inaturalist.org/attachments/users/icons/12610/medium.jpg?1475533475",55,40,0
"naturenut",25809,"https://static.inaturalist.org/attachments/users/icons/25809/medium.jpg?1475540802",55,16,0
"timbir5",26669,"https://static.inaturalist.org/attachments/users/icons/26669/medium.jpg?1475541181",55,63,0
"andybridges",52828,"https://static.inaturalist.org/attachments/users/icons/52828/medium.jpg?1475553640",55,32,0
"ellen5",140872,"https://static.inaturalist.org/attachments/users/icons/140872/medium.jpg?1475546383",55,28,0
"eattaway92",151498,"https://static.inaturalist.org/attachments/users/icons/151498/medium.jpg?1481592877",55,58,0
"jpleonar",172165,"https://static.inaturalist.org/attachments/users/icons/172165/medium.jpg?1488494131",55,16,0
"joemdo",349183,"https://static.inaturalist.org/attachments/users/icons/349183/medium.jpg?1477097260",55,21,0
"brennafarrell",521996,"https://static.inaturalist.org/attachments/users/icons/521996/medium.jpg?1512167402",55,13,0
"raulagrait",71497,"https://static.inaturalist.org/attachments/users/icons/71497/medium.jpg?1475549194",54,26,0
"leannewallisbiologist",109098,"https://static.inaturalist.org/attachments/users/icons/109098/medium.jpg?1475547611",54,21,0
"rolandwirth",314317,"https://static.inaturalist.org/attachments/users/icons/314317/medium.jpg?1508994726",54,29,0
