county_name	geoid	url	obs_count	iconic_taxon	common_name	sci_name	photo	photo_attribution	critter_obs_count
Wilcox County, AL	1131	http://www.inaturalist.org/observations?place_id=2794	0	0	0	0	0	0	0
Hale County, AL	1065	http://www.inaturalist.org/observations?place_id=2795	3	47126	Pines	Pinus	http://farm9.staticflickr.com/8088/8487847890_86a38fc623_s.jpg	(c) 5u5, some rights reserved (CC BY)	1
Marengo County, AL	1091	http://www.inaturalist.org/observations?place_id=2796	0	0	0	0	0	0	0
Miami County, IN	18103	http://www.inaturalist.org/observations?place_id=916	7	3	Hawks and Buzzards	Buteo	http://farm6.staticflickr.com/5067/5620895004_c1655a2bf9_s.jpg	(c) Vitaliy Khustochka, some rights reserved (CC BY-NC)	1
Parke County, IN	18121	http://www.inaturalist.org/observations?place_id=1010	51	26036	Northern Watersnake	Nerodia sipedon	http://farm4.staticflickr.com/3249/2455260775_19cb7c5b04_s.jpg	(c) Douglas Mills, some rights reserved (CC BY-NC-ND)	3
Wells County, IN	18179	http://www.inaturalist.org/observations?place_id=1012	0	0	0	0	0	0	0
Calhoun County, FL	12013	http://www.inaturalist.org/observations?place_id=167	3	26036	Green Anole	Anolis carolinensis	http://static.inaturalist.org/photos/2626904/square.jpg?1447012355	(c) Roberto R. Calderón, some rights reserved (CC BY-NC)	1
Putnam County, IN	18133	http://www.inaturalist.org/observations?place_id=2144	87	47158	Honey Bee	Apis mellifera	https://farm7.staticflickr.com/6210/6144882221_84b8936360_s.jpg	(c) Franco Folini, some rights reserved (CC BY-SA)	2
Washington County, IN	18175	http://www.inaturalist.org/observations?place_id=2145	18	20978	Cricket Frogs	Acris	http://farm4.staticflickr.com/3119/2708761024_52452b4204_s.jpg	(c) Jerry Oldenettel, some rights reserved (CC BY-NC-SA)	2
Knox County, IN	18083	http://www.inaturalist.org/observations?place_id=2164	3	47158	Butterflies and Moths	Lepidoptera	http://static.inaturalist.org/photos/71007/square.jpg?1444441804	(c) Roger C. Kendrick, all rights reserved, uploaded by Roger Kendrick	1
Randolph County, IN	18135	http://www.inaturalist.org/observations?place_id=2165	2	47158	European Mantis	Mantis religiosa	http://farm3.staticflickr.com/2555/3967055862_51fece95f4_s.jpg	(c) Claudio, some rights reserved (CC BY-NC-ND)	2
Steuben County, IN	18151	http://www.inaturalist.org/observations?place_id=2166	31	40151	Mammals	Mammalia	http://farm4.staticflickr.com/3134/2780298470_2b28c38854_s.jpg	(c) Alan, some rights reserved (CC BY-NC)	4
Whitley County, IN	18183	http://www.inaturalist.org/observations?place_id=2252	3	47126		Platanus mexicana	http://media.eol.org/content/2012/03/14/15/62176_98_68.jpg	(c) 2012 Zoya Akulova, some rights reserved (CC BY-NC)	1
White County, IN	18181	http://www.inaturalist.org/observations?place_id=2253	1	47178	Typical Carps	Cyprinus	http://farm8.staticflickr.com/7005/6837144505_cfa2767302_s.jpg	(c) Robert Pos, some rights reserved (CC BY)	1
Gibson County, IN	18051	http://www.inaturalist.org/observations?place_id=2347	2	26036	Snapping Turtle	Chelydra serpentina	http://farm4.staticflickr.com/3175/2850135743_563b1b7a3e_s.jpg	(c) Karim Rezk, some rights reserved (CC BY-NC-ND)	1
Hardee County, FL	12049	http://www.inaturalist.org/observations?place_id=524	53	47126		Chapmannia floridana	http://farm2.staticflickr.com/1148/4727181189_c40b14ebde_s.jpg	(c) FWC Fish and Wildlife Research Institute, some rights reserved (CC BY-NC-ND)	2
