id	species
48389	Aphelocoma californica
48423	Cyanocitta cristata
48145	Corvus brachyrhynchos
48147	Cyanocitta cristata
48149	Corvus brachyrhynchos
48155	Cyanocitta cristata
48161	Corvus brachyrhynchos
48043	Corvus corax
48393	Pica hudsonia
48275	Cyanocitta cristata
48289	Corvus brachyrhynchos
48385	Aphelocoma californica
48171	Aphelocoma californica
48459	Cyanocitta cristata
48213	Corvus brachyrhynchos
48225	Corvus brachyrhynchos
48237	Cyanocitta cristata
48261	Cyanocorax yncas
48291	Cyanocitta cristata
48299	Aphelocoma californica
48499	Cyanocitta cristata
48277	Corvus brachyrhynchos
48257	Cyanocitta cristata
48109	Cyanocitta stelleri
48241	Cyanocitta cristata
48019	Aphelocoma californica
48051	Corvus brachyrhynchos
48163	Cyanocorax yncas
48173	Cyanocitta cristata
48183	Cyanocitta cristata
48391	Cyanocorax yncas
48297	Cyanocorax yncas
48445	Cyanocitta cristata
48413	Aphelocoma californica
48417	Corvus brachyrhynchos
48425	Cyanocitta cristata
48455	Cyanocitta cristata
48493	Cyanocitta cristata
48323	Cyanocorax yncas
48405	Cyanocitta cristata
48351	Corvus brachyrhynchos
48229	Aphelocoma californica
48113	Cyanocitta cristata
48139	Cyanocitta cristata
48127	Cyanocorax yncas
48311	Cyanocorax yncas
48281	Corvus corax
48327	Aphelocoma californica
48447	Corvus brachyrhynchos
48497	Cyanocitta cristata
48463	Cyanocorax yncas
48439	Cyanocitta cristata
48373	Cyanocitta cristata
48039	Cyanocitta cristata
48331	Corvus brachyrhynchos
48411	Corvus corax
48025	Cyanocorax yncas
39151	Corvus brachyrhynchos
11001	Cyanocitta cristata
27039	Corvus brachyrhynchos
37093	Cyanocitta cristata
48491	Corvus brachyrhynchos
6097	Corvus corax
56021	Pica hudsonia
56045	Corvus brachyrhynchos
56039	Pica hudsonia
56003	Corvus corax
30043	Pica hudsonia
30015	Corvus brachyrhynchos
30009	Pica hudsonia
30093	Pica hudsonia
23029	Corvus brachyrhynchos
23007	Cyanocitta cristata
1129	Cyanocitta cristata
1003	Cyanocitta cristata
1089	Corvus brachyrhynchos
1081	Corvus brachyrhynchos
18127	Cyanocitta cristata
18175	Cyanocitta cristata
18135	Cyanocitta cristata
18181	Cyanocitta cristata
18051	Cyanocitta cristata
12049	Aphelocoma coerulescens
12093	Aphelocoma coerulescens
12101	Cyanocitta cristata
12069	Aphelocoma coerulescens
12043	Aphelocoma coerulescens
12017	Aphelocoma coerulescens
12063	Cyanocitta cristata
12081	Aphelocoma coerulescens
12105	Aphelocoma coerulescens
12003	Corvus brachyrhynchos
12115	Aphelocoma coerulescens
12059	Cyanocitta cristata
16033	Nucifraga columbiana
16055	Corvus brachyrhynchos
16013	Nucifraga columbiana
16043	Pica hudsonia
16029	Cyanocitta stelleri
16053	Gymnorhinus cyanocephalus
16007	Corvus brachyrhynchos
16045	Pica hudsonia
16019	Corvus brachyrhynchos
16071	Corvus corax
16059	Nucifraga columbiana
13005	Corvus brachyrhynchos
13263	Corvus brachyrhynchos
13069	Corvus brachyrhynchos
20191	Cyanocitta cristata
20035	Cyanocitta cristata
20091	Cyanocitta cristata
20151	Pica hudsonia
20185	Pica hudsonia
20047	Pica hudsonia
21023	Cyanocitta cristata
21239	Corvus brachyrhynchos
22097	Cyanocitta cristata
22033	Cyanocitta cristata
29131	Cyanocitta cristata
29029	Cyanocitta cristata
29099	Cyanocitta cristata
29095	Cyanocitta cristata
26121	Cyanocitta cristata
26005	Cyanocitta cristata
26081	Cyanocitta cristata
26019	Cyanocitta cristata
26115	Corvus brachyrhynchos
26141	Cyanocitta cristata
26153	Corvus brachyrhynchos
27019	Corvus brachyrhynchos
37007	Corvus brachyrhynchos
37111	Corvus brachyrhynchos
37077	Corvus brachyrhynchos
37101	Cyanocitta cristata
37129	Corvus brachyrhynchos
37127	Cyanocitta cristata
37063	Corvus brachyrhynchos
37019	Corvus brachyrhynchos
26161	Corvus brachyrhynchos
26159	Cyanocitta cristata
37199	Corvus brachyrhynchos
37161	Corvus brachyrhynchos
37061	Cyanocitta cristata
37087	Corvus brachyrhynchos
37039	Cyanocitta cristata
37073	Cyanocitta cristata
37095	Corvus ossifragus
37025	Cyanocitta cristata
37005	Corvus brachyrhynchos
37169	Corvus brachyrhynchos
37171	Corvus brachyrhynchos
37047	Cyanocitta cristata
37097	Cyanocitta cristata
37021	Corvus brachyrhynchos
39049	Corvus brachyrhynchos
39123	Cyanocitta cristata
39115	Corvus brachyrhynchos
39089	Corvus corax
39019	Cyanocitta cristata
39099	Corvus brachyrhynchos
39149	Cyanocitta cristata
39157	Corvus brachyrhynchos
39007	Cyanocitta cristata
39167	Corvus brachyrhynchos
39071	Cyanocitta cristata
6111	Aphelocoma californica
55025	Cyanocitta cristata
39031	Corvus brachyrhynchos
39061	Cyanocitta cristata
54003	Cyanocitta cristata
54107	Corvus brachyrhynchos
54001	Corvus brachyrhynchos
54047	Corvus brachyrhynchos
8089	Corvus corax
8101	Corvus corax
8013	Pica hudsonia
8119	Pica hudsonia
8123	Pica hudsonia
8069	Pica hudsonia
8029	Cyanocitta stelleri
8097	Perisoreus canadensis
17095	Cyanocitta cristata
17163	Cyanocitta cristata
17203	Cyanocitta cristata
24043	Cyanocitta cristata
24033	Cyanocitta cristata
20097	Pica hudsonia
20145	Pica hudsonia
21007	Cyanocitta cristata
36057	Corvus brachyrhynchos
36039	Cyanocitta cristata
36113	Corvus brachyrhynchos
36123	Cyanocitta cristata
37165	Cyanocitta cristata
39027	Cyanocitta cristata
39051	Corvus brachyrhynchos
39091	Cyanocitta cristata
42013	Cyanocitta cristata
42041	Cyanocitta cristata
26013	Corvus brachyrhynchos
26055	Cyanocitta cristata
36031	Corvus brachyrhynchos
36083	Cyanocitta cristata
36059	Cyanocitta cristata
