"login","user_id","user_icon","identifications","species","wg"
"aguilita",115129,"https://static.inaturalist.org/attachments/users/icons/115129/medium.jpg?1475549115",94,15,0
"luis_diaz-gamboa",28799,"https://static.inaturalist.org/attachments/users/icons/28799/medium.jpg?1485496630",93,18,0
"katharinab",330945,"https://static.inaturalist.org/attachments/users/icons/330945/medium.jpg?1478456750",93,9,0
"alexanderr",129251,"https://static.inaturalist.org/attachments/users/icons/129251/medium.jpg?1509981026",92,42,0
"smuele",112287,"https://static.inaturalist.org/attachments/users/icons/112287/medium.jpg?1475548290",91,22,0
"hfabian",3342,"https://static.inaturalist.org/attachments/users/icons/3342/medium.jpg?1475528806",90,47,0
"berkshirenaturalist",53860,"https://static.inaturalist.org/attachments/users/icons/53860/medium.jpeg?1501943588",89,31,0
"robberfly",13979,"https://static.inaturalist.org/attachments/users/icons/13979/medium.jpg?1494699553",88,48,0
"jaydraines",90997,"https://static.inaturalist.org/attachments/users/icons/90997/medium.jpeg?1490933270",88,30,0
"christine123",103695,"https://static.inaturalist.org/attachments/users/icons/103695/medium.jpg?1475545795",87,13,0
"larry522",12045,"https://static.inaturalist.org/attachments/users/icons/12045/medium.jpg?1475533238",86,23,0
"solifugae",510090,"",85,28,0
"jeffmci9",435598,"https://static.inaturalist.org/attachments/users/icons/435598/medium.jpg?1491017960",84,17,0
"horacio_barcenas",87960,"https://static.inaturalist.org/attachments/users/icons/87960/medium.png?1489940796",83,28,0
"jgarwood",329176,"https://static.inaturalist.org/attachments/users/icons/329176/medium.jpg?1511285288",83,21,0
"john8",11060,"https://static.inaturalist.org/attachments/users/icons/11060/medium.jpg?1475532900",82,92,0
"greghall",530786,"https://static.inaturalist.org/attachments/users/icons/530786/medium.jpeg?1511644008",80,13,0
"tonyg",1639,"https://static.inaturalist.org/attachments/users/icons/1639/medium.jpg?1502594180",79,78,0
"reallifeecology",15723,"https://static.inaturalist.org/attachments/users/icons/15723/medium.jpg?1475535710",79,37,0
"friel",3511,"https://static.inaturalist.org/attachments/users/icons/3511/medium.jpg?1475528889",78,31,0
"jeremy",34804,"",78,42,0
"saras",114178,"https://static.inaturalist.org/attachments/users/icons/114178/medium.jpg?1475548779",77,2,0
"erikamitchell",12158,"https://static.inaturalist.org/attachments/users/icons/12158/medium.jpeg?1475533280",76,14,0
"ck2az",264009,"https://static.inaturalist.org/attachments/users/icons/264009/medium.jpg?1501893266",76,8,0
"the_salamander_man",18074,"https://static.inaturalist.org/attachments/users/icons/18074/medium.jpg?1475537135",75,38,0
"gshugart",145232,"",75,8,0
"euproserpinus",21370,"https://static.inaturalist.org/attachments/users/icons/21370/medium.jpg?1475538868",73,12,0
"samfellows566",37282,"https://static.inaturalist.org/attachments/users/icons/37282/medium.jpg?1488384555",73,21,0
"eknuth",199809,"",73,43,0
"diogoprov",1169,"https://static.inaturalist.org/attachments/users/icons/1169/medium.jpg?1475527817",72,26,0
"jeremyhussell",367383,"https://static.inaturalist.org/attachments/users/icons/367383/medium.jpg?1503713725",72,11,0
"toby",2098,"https://static.inaturalist.org/attachments/users/icons/2098/medium.jpg?1475528331",71,95,0
"iuvel",480475,"https://static.inaturalist.org/attachments/users/icons/480475/medium.jpeg?1494601219",71,26,0
"star3",370785,"",69,16,0
"tortuga_rapido",10162,"https://static.inaturalist.org/attachments/users/icons/10162/medium.jpg?1475532444",68,35,0
"schoenitz",340786,"https://static.inaturalist.org/attachments/users/icons/340786/medium.jpg?1481050563",68,19,0
"ophisaurus1",401931,"https://static.inaturalist.org/attachments/users/icons/401931/medium.jpg?1487110078",68,24,0
"damontighe",3494,"https://static.inaturalist.org/attachments/users/icons/3494/medium.jpg?1475528878",66,28,0
"magazhu",46555,"https://static.inaturalist.org/attachments/users/icons/46555/medium.jpg?1475588516",66,15,0
"k_mccormack",126079,"",65,11,0
"apbbani",151218,"https://static.inaturalist.org/attachments/users/icons/151218/medium.jpg?1510542202",65,15,0
"ericwilliams",275627,"https://static.inaturalist.org/attachments/users/icons/275627/medium.jpeg?1502281701",65,16,0
"sarahwenner",201119,"https://static.inaturalist.org/attachments/users/icons/201119/medium.jpg?1475537182",64,5,0
"dendzo",307268,"https://static.inaturalist.org/attachments/users/icons/307268/medium.jpg?1489781446",64,15,0
"diegophidio",7811,"https://static.inaturalist.org/attachments/users/icons/7811/medium.jpeg?1475531343",63,20,0
"hydaticus",18780,"https://static.inaturalist.org/attachments/users/icons/18780/medium.jpg?1475537522",63,94,0
"accordiongordon",258200,"https://static.inaturalist.org/attachments/users/icons/258200/medium.jpg?1475535653",63,11,0
"humanbyweight",466325,"https://static.inaturalist.org/attachments/users/icons/466325/medium.png?1493441038",63,15,0
"upupa-epops",472970,"https://static.inaturalist.org/attachments/users/icons/472970/medium.jpg?1500923902",63,10,0
"lfelliott",206,"https://static.inaturalist.org/attachments/users/icons/206/medium.jpg?1502090676",62,26,0
"martingrimm",32124,"https://static.inaturalist.org/attachments/users/icons/32124/medium.jpg?1475545052",62,30,0
"wkcheng71",37171,"https://static.inaturalist.org/attachments/users/icons/37171/medium.jpg?1475547098",62,18,0
"ganjarcahyadi",422024,"https://static.inaturalist.org/attachments/users/icons/422024/medium.jpg?1505696848",62,30,0
"ajaco005",432270,"",62,19,0
"joshl",470229,"https://static.inaturalist.org/attachments/users/icons/470229/medium.jpg?1499607512",62,13,0
"dtoth",38482,"",61,15,0
"rmorgan",271207,"https://static.inaturalist.org/attachments/users/icons/271207/medium.jpg?1491356233",61,3,0
"leannewallisbiologist",109098,"https://static.inaturalist.org/attachments/users/icons/109098/medium.jpg?1475547611",60,19,0
"jesusloc",169783,"https://static.inaturalist.org/attachments/users/icons/169783/medium.jpg?1508597208",60,25,0
"reiner",222137,"https://static.inaturalist.org/attachments/users/icons/222137/medium.jpg?1499517650",60,15,0
"mantellaman90",337058,"https://static.inaturalist.org/attachments/users/icons/337058/medium.jpeg?1500755976",60,33,0
"flight69",3098,"https://static.inaturalist.org/attachments/users/icons/3098/medium.jpg?1475528705",59,13,0
"johnwilliams",14327,"https://static.inaturalist.org/attachments/users/icons/14327/medium.jpg?1475534185",59,60,0
"cypseloides",6097,"https://static.inaturalist.org/attachments/users/icons/6097/medium.jpg?1475530497",58,42,0
"zaccota",12036,"https://static.inaturalist.org/attachments/users/icons/12036/medium.jpg?1475533232",58,15,0
"txherpbird",13104,"https://static.inaturalist.org/attachments/users/icons/13104/medium.jpg?1475533719",58,10,0
"chinquapin",300377,"https://static.inaturalist.org/attachments/users/icons/300377/medium.jpg?1475527786",58,31,0
"kevinemetcalf",286459,"https://static.inaturalist.org/attachments/users/icons/286459/medium.jpg?1499541834",57,45,0
"rolandlawl",513801,"https://static.inaturalist.org/attachments/users/icons/513801/medium.jpg?1498428095",57,10,0
"camilojotage",86081,"https://static.inaturalist.org/attachments/users/icons/86081/medium.jpg?1506082173",56,20,0
"jbroadhead3",228699,"https://static.inaturalist.org/attachments/users/icons/228699/medium.jpg?1503861329",56,39,0
"markscherz",3317,"https://static.inaturalist.org/attachments/users/icons/3317/medium.jpg?1475528796",55,29,0
"coreyjlange",55236,"https://static.inaturalist.org/attachments/users/icons/55236/medium.jpg?1475588857",55,35,0
"agkistrodon",424114,"https://static.inaturalist.org/attachments/users/icons/424114/medium.jpg?1489527159",54,14,0
